IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.22.49.205,219,331,244,0
104.22.32.253,228,266,244,0
104.24.43.222,218,340,244,0
104.20.48.80,226,256,245,0
104.24.54.245,217,336,245,0
104.20.131.32,212,341,245,0
104.22.3.23,215,336,245,0
104.22.76.219,234,275,245,0
104.22.20.219,235,267,245,0
104.20.40.41,220,338,245,0
104.27.85.41,221,340,245,0
172.67.46.1,217,338,245,0
104.20.206.8,221,339,245,0
104.27.37.83,221,280,245,0
104.25.188.49,231,282,246,0
104.20.49.168,223,292,246,0
104.25.8.196,236,283,246,0
104.20.242.127,225,336,246,0
104.25.10.126,231,267,246,0
104.25.142.40,233,261,246,0
172.67.75.215,234,274,246,0
104.22.71.12,231,259,246,0
104.24.218.30,231,270,247,0
104.25.106.19,235,261,247,0
104.22.23.188,219,339,247,0
104.27.200.241,235,263,247,0
104.24.13.154,235,261,247,0
104.22.1.220,232,274,247,0
104.27.124.172,237,266,248,0
104.24.132.90,232,268,248,0
104.27.110.7,230,272,248,0
104.20.173.251,237,273,248,0
104.23.100.19,236,266,248,0
104.20.248.33,235,266,248,0
104.25.117.42,233,262,248,0
104.24.226.209,238,266,249,0
172.67.45.187,236,269,249,0
172.67.29.119,223,335,249,0
104.20.29.133,237,262,249,0
104.25.237.179,238,291,249,0
172.67.110.74,235,263,249,0
172.67.98.167,226,302,249,0
172.67.105.10,238,263,249,0
172.67.114.5,237,280,250,0
104.24.30.148,244,266,250,0
104.20.45.238,231,272,250,0
172.67.13.213,235,276,251,0
104.25.185.35,240,276,251,0
104.20.223.191,239,266,251,0
104.23.125.218,241,259,251,0
104.20.75.245,234,268,251,0
104.24.59.229,237,270,251,0
104.24.15.187,238,272,252,0
104.27.204.181,241,268,252,0
172.67.71.91,237,272,252,0
104.20.151.118,241,280,252,0
104.27.70.146,230,272,253,0
104.26.3.62,241,270,253,0
104.22.57.42,235,275,254,0
104.24.19.250,243,270,254,0
104.27.22.35,237,281,254,0
104.27.112.159,234,279,255,0
172.67.66.16,240,280,255,0
104.25.90.67,246,277,255,0
104.20.26.124,246,264,255,0
104.20.159.71,237,271,255,0
